	Kanji	Romaji	Title	Screenplay	Art	Animation	Direction	Chapters	Episode_num
547	女ヶ島上陸 ルフィを責める過酷な現実	Nyōgashima Jōriku - Rufi o Semeru Kakoku na Genjitsu	Arrival at the Island of Women - Cruel Reality Tortures Luffy	菅良幸 - Yoshiyuki Suga	白石美穂 - Miho Shiraishi	高木雅之 - Masayuki Takagi	園田誠 - Makoto Sonoda	581 p.7-8 ::: 582 p.3-15	Episode 491
548	奪われた自由! 三兄弟に迫る貴族の罠	Ubawareta Jiyū! Sankyōdai ni Semaru Kizoku no Wana	None	菅良幸 - Yoshiyuki Suga	白石美穂 - Miho Shiraishi	井上栄作 - Eisaku Inoue	園田誠 - Makoto Sonoda	585 p.18-19 ::: 586 p.2-12	Episode 500
549	まさかの再上陸! ルフィ海軍本部（マリンフォード）へ!	Masaka no Saijōriku! Rufi Marinfōdo e!	An Unexpected Return! Luffy, to Marineford!	田中仁 - Hitoshi Tanaka	吉池隆司 - Ryūji Yoshiike	石塚勝海 - Katsumi Ishizuka	園田誠 - Makoto Sonoda	594 p.2-14 :::  18-19	Episode 511
550	二人目の侍 夕立ちカン十郎登場	Futarime no Samurai - Yūdachi Kanjūrō Tōjō	The Second Samurai — Evening Shower Kanjuro Appears	中山智博 - Tomohiro Nakayama	吉池隆司 - Ryūji Yoshiike	出口としお - Toshio Deguchi	園田誠 - Makoto Sonoda	Chapter 753 (p. 16-17) ::: Chapter 754 (p. 2-11) ::: Chapter 755 (p. 2) ::: 	Episode 691
551	迫る海軍の捜査網！囚われた二人目！	Semaru kaigun no sōsamō! Torawareta futarime!	None	菅良幸 - Yoshiyuki Suga	佐藤美幸 - Miyuki Sato ::: 	真庭秀明 - Hideaki Naniwa	細田守 - Mamoru Hosoda	Filler	Episode 199
552	ナミの決断！暴走チョッパーを撃て！	Nami no ketsudan! Bōsō Choppā o ute!	Nami's Determination! Shoot the Rampaging Chopper!	古賀直樹 - Koga Naoki	佐藤美幸 - Miyuki Sato ::: 福澤久美子 - Kumiko Fukuzawa	井手武生  - Takeo Ide	細田雅弘 - Masahiro Hosoda	Chapter 411 p.16-17  :::  Chapter 412 p.2-19	Episode 296
553	闇の黒幕! ドフラミンゴ動く!	Yami no Kuromaku! Dofuramingo Ugoku!	The Mastermind in the Shadows! Doflamingo Moves!	米村正二 - Shōji Yonemura	白石美穂 - Miho Shiraishi	出口としお - Toshio Deguchi	細田雅弘 - Masahiro Hosoda	Chapter 682 (p. 2-19)	Episode 608
554	シーザー撃破! 最強の灰熊銃（グリズリー・マグナム）	Shīzā Gekiha! Saikyō no Gurizurī Magunamu	Caesar's Defeat! The Strongest Grizzly Magnum	米村正二 - Shōji Yonemura	吉池隆司 - Ryūji Yoshiike	出口としお - Toshio Deguchi	細田雅弘 - Masahiro Hosoda	Chapter 691 (p. 5-21)  ::: Chapter 692 (p. 3-6)	Episode 617
555	G5壊滅! ドフラミンゴ急襲!	Jī-Faibu Kaimetsu! Dofuramingo Kyūshū!	The G-5 Wiped Out! Doflamingo's Sudden Attack!	田中仁 - Hitoshi Tanaka	白石美穂 - Miho Shiraishi	川村敦子 - Atsuko Kawamura	細田雅弘 - Masahiro Hosoda	Chapter 698 (p. 2-14 ::: 18-19)	Episode 624
556	熱狂渦巻く コリーダコロシアム	Nekkyō Uzumaku - Korīda Koroshiamu	Full of Enthusiasm - Corrida Colosseum	米村正二 - Shōji Yonemura	吉池隆司 - Ryūji Yoshiike	新垣重文 - Shigefumi Shingaki	細田雅弘 - Masahiro Hosoda	Chapter 701 (p. 16-19) ::: Chapter 702 (p. 2-12 :::  15)	Episode 631
557	世紀の謀略 ドフラミンゴ動く!	Seiki no Bōryaku - Dofuramingo Ugoku!	The Stratagem of the Century - Doflamingo Makes His Move!	田中仁 - Hitoshi Tanaka	白石美穂 - Miho Shiraishi	北崎正浩 - Masahiro Kitazaki	細田雅弘 - Masahiro Hosoda	Chapter 706 (p. 10) ::: Chapter 711 (p. 18-19) ::: Chapter 712 (p. 10-19)	Episode 642
558	ルフィと宿命の剣闘士レベッカ	Rufi to Shukumei no Kentōshi Rebekka	Luffy and the Gladiator of Fate - Rebecca	米村正二 - Shōji Yonemura	白石美穂 - Miho Shiraishi	島貫正弘 - Masahiro Shimanuki	細田雅弘 - Masahiro Hosoda	Chapter 720 (p. 2-19)	Episode 650
559	両雄相まみえる! 麦わらと天夜叉	Ryōyū Aimamieru! Mugiwara to Ten Yasha	Two Great Rivals Meet Each Other! Straw Hat and Heavenly Yaksha	上坂浩彦 - Hirohiko Kamisaka	白石美穂 - Miho Shiraishi	横山健次 - Kenji Yokoyama	細田雅弘 - Masahiro Hosoda	Chapter 730 (p. 2-19) ::: 	Episode 662
560	打倒シュガー 小人の兵隊突撃!	Datō Shugā - Kobito no Heitai Totsugeki!	Defeat Sugar - The Dwarf Soldiers Charge!	米村正二 - Shōji Yonemura	吉池隆司 - Ryūji Yoshiike	横山健次 - Kenji Yokoyama	細田雅弘 - Masahiro Hosoda	Chapter 738 (p. 4-19) ::: Chapter 739 (p. 8) ::: 	Episode 671
561	大激突! 参謀総長サボVS大将藤虎	Dai-Gekitotsu! Sanbō Sōchō Sabo tai Taishō Fujitora	A Big Collision! Chief of Staff Sabo vs. Admiral Fujitora	中山智博 - Tomohiro Nakayama	吉池隆司 - Ryūji Yoshiike	横山健次 - Kenji Yokoyama	細田雅弘 - Masahiro Hosoda	Chapter 750 (p. 15-19) ::: Chapter 751 (p. 2-9) ::: 	Episode 687
562	一撃必殺 ドレスローザを救う男	Ichigeki-hissatsu - Doresurōza o Sukuu Otoko	One Shot One Kill - The Man Who Will Save Dressrosa	冨岡淳広 - Atsuhiro Tomioka	吉池隆司 - Ryūji Yoshiike	島貫正弘 - Masahiro Shimanuki	細田雅弘 - Masahiro Hosoda	Chapter 758 (p.7-17)	Episode 697
563	時迫る! オペオペの実を奪え!	Toki Semaru! Ope Ope no Mi o Ubae!	The Time is Ticking Down! Seize the Ope Ope no Mi!	上坂浩彦 - Hirohiko Kamisaka	白石美穂 - Miho Shiraishi	新垣重文 - Shigefumi Shingaki	細田雅弘 - Masahiro Hosoda	Chapter 765 (p.2-17)	Episode 704
564	バリバリ オマージュ神拳発動!	Bari Bari - Omāju Shinken Hatsudō!	Bari-Bari - Homage God Fist Strikes!	中山智博 - Tomohiro Nakayama	吉池隆司 - Ryūji Yoshiike	横山健次 - Kenji Yokoyama	細田雅弘 - Masahiro Hosoda	Chapter 773 (p. 6-19) ::: 	Episode 713
565	執念の刃 逆襲のガンマナイフ！	Shūnen no Yaiba - Gyakushū no Ganma Naifu!	A Blade of Tenacity - The Gamma Knife Counterattack!	中山智博 - Tomohiro Nakayama	白石美穂 - Miho Shiraishi	伊藤修一 - Shūichi Itō	細田雅弘 - Masahiro Hosoda	Chapter 781 (p. 2-15) ::: 	Episode 722
566	奇跡の涙 マンシェリーの戦い!	Kiseki no Namida - Mansherī no Tatakai!	Tears of Miracles - Mansherry's Fight!	冨岡淳広 - Atsuhiro Tomioka	白石美穂 - Miho Shiraishi	楢崎朝子 - Asako Narasaki ::: 多嘉良敢 - Isamu Takara	細田雅弘 - Masahiro Hosoda	Chapter 787 (p. 10-17) ::: 	Episode 730
567	兄弟の絆 ルフィ・サボ再会秘話	Kyōdai no Kizuna - Rufi Sabo Saikai Hiwa	The Brothers' Bond - The Untold Story Behind Luffy and Sabo's Reunion	田中仁 - Hitoshi Tanaka	白石美穂 - Miho Shiraishi	伊藤修一 - Shūichi Itō	細田雅弘 - Masahiro Hosoda	Chapter 794 (p. 7-15) ::: Chapter 795 (p. 2-3) ::: 	Episode 738
568	群雄割拠 荒狂う新世界の怪物達	Gun'yū-kakkyo - Arekuruu Shin Sekai no Kaibutsu-tachi	The Numerous Rivals Struggle Amongst Themselves - The Raging Monsters of the New World	米村正二 - Shōji Yonemura	白石美穂 - Miho Shiraishi	多嘉良敢 - Isamu Takara	細田雅弘 - Masahiro Hosoda	Chapter 801 (p. 2-17) ::: 	Episode 746
569	ガルチュー! 麦わらの一味再集結	Garuchū! Mugiwara no Ichimi Sai Shūketsu	Garchu! The Straw Hat Crew Reunites	中山智博 - Tomohiro Nakayama	吉池隆司 - Ryūji Yoshiike	川村敦子 - Atsuko Kawamura	細田雅弘 - Masahiro Hosoda	Chapter 806 (p. 2-17) ::: 	Episode 755
570	ルフィ決断 サンジ脱退の危機!	Rufi Ketsudan - Sanji Dattai no Kiki!	Luffy's Decision - Sanji on the Brink of Quitting!	中山智博 - Tomohiro Nakayama	白石美穂 - Miho Shiraishi	横山健次 - Kenji Yokoyama	細田雅弘 - Masahiro Hosoda	Chapter 815 (p. 2-17) ::: 	Episode 766
571	巨象（ズニーシャ）を救え 麦わら救急（レスキュー）大作戦!	Zunīsha o Sukue - Mugiwara Resukyū Dai-sakusen!	Save Zunesha - The Straw Hat's Rescue Operation!	上坂浩彦 - Hirohiko Kamisaka	吉池隆司 - Ryūji Yoshiike	出口としお - Toshio Deguchi	細田雅弘 - Masahiro Hosoda	Filler	Episode 775
572	左眼の因縁 ペドロVSタマゴ男爵	Hidarime no Innen - Pedoro tai Tamago Danshaku	The History of the Left Eye - Pedro vs. Baron Tamago	冨岡淳広 - Atsuhiro Tomioka	白石美穂 - Miho Shiraishi	小泉昇 - Noboru Koizumi	細田雅弘 - Masahiro Hosoda	Chapter 850 (p. 2-3 :::  5 :::  7-11) ::: 	Episode 816
573	死の協定 ルフィ&ベッジ連合軍!	Shi no Kyōtei - Rufi Bejji Rengō-gun!	The Deadly Pact - Luffy & Bege's Allied Forces!	田中仁 - Hitoshi Tanaka	白石美穂 - Miho Shiraishi	北崎正浩 - Masahiro Kitazaki	細田雅弘 - Masahiro Hosoda	Chapter 858 (p. 14-19) ::: Chapter 859 (p. 2-11) ::: 	Episode 828
574	マム誕生 カルメルが消えた日	Mamu Tanjō - Karumeru ga Kieta Hi	The Birth of Mom - The Day That Carmel Vanished	田中仁 - Hitoshi Tanaka	吉池隆司 - Ryūji Yoshiike	横山健次 - Kenji Yokoyama ::: 福本泰子 - Fukumoto Yasuko	細田雅弘 - Masahiro Hosoda	Chapter 867 (p. 2-17) ::: 	Episode 837
575	偶然の再会 サンジと恋する悪プリン	Gūzen no Saikai - Sanji to Koisuru Waru Purin	A Coincidental Reunion - Sanji and the Lovestruck Evil Pudding	三浦希紗 - Kisa Miura	齋藤優 - Yū Saitō	新垣重文 - Shigefumi Shingaki	細田雅弘 - Masahiro Hosoda	Chapter 875 (p. 14-17) ::: Chapter 876 (p. 2-12) ::: 	Episode 847
576	闇に潜む ルフィを襲う暗殺者!	Yami ni Hisomu - Rufi o Osou Ansatsusha!	Lurking in the Darkness - An Assassin Targeting Luffy!	三浦希紗 - Kisa Miura	齋藤優 - Yū Saitō	伊藤公崇 - Kimitaka Itō ::: 井上栄作 - Eisaku Inoue	細田雅弘 - Masahiro Hosoda	Chapter 892 (p. 9-17) ::: 	Episode 867
577	仁義の漢 ジンベエ決死の大海流	Jingi no Otoko - Jinbē Kesshi no Daikairyū	The Man of Humanity and Justice - Jinbe, a Desperate Massive Ocean Current	中山智博 - Tomohiro Nakayama	白石美穂 - Miho Shiraishi	伊藤修一 - Shūichi Itō	細田雅弘 - Masahiro Hosoda	Chapter 901 (p. 2-17) ::: 	Episode 876
578	聖地騒然 狙われたしらほし姫!	Seichi Sōzen - Nerawareta Shirahoshi-hime!	The Holy Land in Tumult - The Targeted Princess Shirahoshi!	冨岡淳広 - Atsuhiro Tomioka	白石美穂 - Miho Shiraishi	横山健次 - Kenji Yokoyama	細田雅弘 - Masahiro Hosoda	Chapter 907 (p. 7-16) ::: 	Episode 886
579	ルフィ激怒 ピンチのお玉を救え!	Rufi Gekido - Pinchi no O-Tama o Sukue!	Luffy Rages - Rescue O-Tama from Danger!	藤田伸三 - Shinzō Fujita	田中里緑 - Midori Tanaka ::: 陳烔年 - Tongnian Chen	高木雅之 - Masayuki Takagi	細田雅弘 - Masahiro Hosoda	Chapter 916 (p. 11 :::  15-19) ::: 	Episode 904
580	最強の男 盗賊団棟梁・酒天丸!	Saikyō no Otoko - Tōzoku-dan Tōryō Shutenmaru!	The Strongest Man - Shutenmaru, the Bandits Brigade Chief!	井上亜樹子 - Akiko Inoue	黄国威 - Guo Wei Huang	高木雅之 - Masayuki Takagi	細田雅弘 - Masahiro Hosoda	Chapter 921 (p. 10-19) ::: Chapter 922 (p. 3 :::  6) ::: 	Episode 912
581	動き出す 打倒カイドウ大計画!	Ugokidasu - Datō Kaidō Dai-keikaku!	It's On - The Special Operation to Bring Down Kaidou!	井上亜樹子 - Akiko Inoue	土居ゆりの - Yurino Doi	久田和也 - Kazuya Hisada	細田雅弘 - Masahiro Hosoda	Chapter 925 (p. 12-17) ::: Chapter 926 (p. 2-8) ::: 	Episode 918
582	生か死か クイーンの大相撲地獄（インフェルノ）	Sei ka Shi ka - Kuīn no Ōzumō Inferuno	Dead or Alive - Queen's Sumo Inferno	田中仁 - Hitoshi Tanaka	土居ゆりの - Yurino Doi	高木雅之 - Masayuki Takagi	細田雅弘 - Masahiro Hosoda	Chapter 936 (p. 7-17) ::: 	Episode 932
583	嵐到来! 大暴れビッグ・マム!	Arashi Tōrai! Ō-abare Biggu Mamu!	The Storm Has Come! A Raging Big Mom!	藤田伸三 - Shinzō Fujita	田中里緑 - Midori Tanaka	横山健次 - Kenji Yokoyama	細田雅弘 - Masahiro Hosoda	Chapter 945 (p. 12-19) ::: 	Episode 944
584	生涯をかけて! ロジャーの冒険	Shōgai o Kakete! Rojā no Bōken	Devoting His Life! Roger's Adventure	米村正二 - Shōji Yonemura	陳烔年 - Tongnian Chen	横山健次 - Kenji Yokoyama	細田雅弘 - Masahiro Hosoda	Chapter 966 (p. 16-17) ::: Chapter 967 (p. 3-11) ::: 	Episode 967
585	海は海賊！討入り！いざ鬼ヶ島	Umi wa Kaizoku! Uchiiri! Iza Onigashima	The Sea Is For Pirates! Raid! To Onigashima	井上亜樹子 - Akiko Inoue	陳烔年 - Tongnian Chen	横山健次 - Kenji Yokoyama	細田雅弘 - Masahiro Hosoda	Chapter 974 (p. 7-17) ::: 	Episode 977
586	爆発！？ヤマトの自由を縛る錠！	Bakuhatsu!? Yamato no Jiyū o Shibaru Jō!	Explosive?! The Handcuffs that Shackle Yamato's Freedom!	田中仁 - Hitoshi Tanaka	田中里緑 - Midori Tanaka	高木雅之 - Masayuki Takagi	細田雅弘 - Masahiro Hosoda	Chapter 985 (p. 3-13) ::: 	Episode 993
587	よかねェよ！！サンジを誘う蜘蛛	Yokanē yo!! Sanji o Sasou Kumo	It's Not Okay!! The Spider That Lures Sanji	藤田伸三 - Shinzō Fujita	田中里緑 - Midori Tanaka	斉藤圭太 - Keita Saitō ::: 北崎正浩 - Masahiro Kitazaki	細田雅弘 - Masahiro Hosoda	Chapter 997 (p. 2-6 :::  11-17) ::: 	Episode 1011
588	スパンク炸裂！サンジの女難！	Supanku Sakuretsu! Sanji no Jonan!	Spank Strikes! Sanji's Woman-trouble!	冨岡淳広 - Atsuhiro Tomioka	黄国威 - Guo Wei Huang	伊藤修一 - Shūichi Itō	細田雅弘 - Masahiro Hosoda	Chapter 1005 (p. 10-17) ::: Chapter 1006 (p. 3-7) ::: 	Episode 1021
589	犯人は麦わら海賊団? 水の都の用心棒	Hannin wa mugiwara kaizokudan? Mizu no miyako no yōjinbo	None	上坂浩彦 - Hirohiko Kamisaka	佐藤美幸 - Miyuki Sato ::: 福澤久美子 - Kumiko Fukuzawa	舘直樹 - Naoki Tate	畑野森生 - Morio Hatano	337 p.15-19 :::  338 p.2-19 :::  339 p.2-9	Episode 239
590	船からも愛された男! ウソップの涙!	Fune kara mo aisareta otoko! Usoppu no namida!	The Man who is Loved by his Ship! Usopp's Tears!	上坂浩彦 - Hirohiko Kamisaka	佐藤美幸 - Miyuki Sato ::: 福澤久美子 - Kumiko Fukuzawa	井手武生  - Takeo Ide	畑野森生 - Morio Hatano	350 p.18-19 :::  351 p.2-19 :::  352 p.2-7	Episode 247
591	ナミ魂の叫び！麦わらのルフィ復活！	Nami tamashii no sakebi! Mugiwara no Rufi fukkatsu!	The Shout of Nami's Soul! Return of Straw Hat Luffy!	上坂浩彦 - Hirohiko Kamisaka	佐藤美幸 - Miyuki Sato ::: 下川忠海 - Tadami Shimokawa	舘直樹 - Naoki Tate	畑野森生 - Morio Hatano	363 p.2-19 :::  364 p.2-9 :::  365 p.2-5	Episode 254
592	激突!鬼斬りゾロVS船斬りTボーン	Gekitotsu! Onigiri Zoro tai Funegiri Tī-Bōn	Crash! Demon-Cutting Zoro vs. Ship-Cutting T Bone!	上坂浩彦 - Hirohiko Kamisaka	佐藤美幸 - Miyuki Sato ::: 千田国広 - Kunihiro Senda	久田和也 - Kazuya Hisada	畑野森生 - Morio Hatano	371 p.11-17 :::  372 p.13-19 :::  373 p.2-5	Episode 261
593	ルフィの過去！赤髪のシャンクス登場	Rufi no Kako! Akagami no Shankusu Tōjō	Luffy's Past! The Red-Haired Shanks Appears!	武上純希 - Junki Takegami	千田国広 - Kunihiro Senda	高木雅之 - Masayuki Takagi	境宗久 - Munehisa Sakai	Chapter 1 (p. 6-46) ::: Chapter 8 (p. 2-16)	Episode 4
594	史上最強の変な奴！催眠術師ジャンゴ	Shijō saikyō no henna yatsu! Saiminjutsushi Jango	The World's Strongest Weirdo! Jango the Hypnotist!	武上純希 - Junki Takegami	佐藤美幸 - Miyuki Sato	高木雅之 - Masayuki Takagi	境宗久 - Munehisa Sakai	Chapter 24 (p. 15-19) ::: Chapter 25 (p. 2-19) ::: Chapter 26 (p. 2-14)	Episode 10
595	カヤを守れ！ウソップ海賊団大活躍！	Kaya o mamore! Usoppu kaizokudan dai katsuyaku!	Protect Kaya! Usopp Pirate Gang Takes Action!	武上純希 - Junki Takegami	千田国広 - Kunihiro Senda	小泉昇 - Noboru Koizumi	境宗久 - Munehisa Sakai	Chapter 38 (p. 2-21) ::: Chapter 39 (p. 2-12)	Episode 16
596	守れバラティエ！大海賊・赫足のゼフ	Mamore Baratie! Dai kaizoku - akaashi no Zefu	Protect Baratie! The Great Pirate: Zeff the Red Leg	武上純希 - Junki Takegami	佐藤美幸 - Miyuki Sato	小泉昇 - Noboru Koizumi	境宗久 - Munehisa Sakai	Chapter 48 (p. 2-19) ::: Chapter 49 (p. 2-18)	Episode 23
597	ゼフとサンジの夢　幻のオールブルー	Zefu to Sanji no yume Maboroshi no ōruburū	Zeff and Sanji's Ambition: The Sea of Dreams - All Blue	島田満 - Michiru Shimada	吉田智子 - Tomoko Yoshida	井上栄作 - Eisaku Inoue	境宗久 - Munehisa Sakai	Chapter 56 (p. 2-21) ::: Chapter 57 (p. 2-19) ::: Chapter 58 (p. 2-19) ::: Chapter 59 (p. 2-10)	Episode 26
598	ココヤシ村の魔女！アーロンの女幹部	Kokoyashi mura no majo! Āron no jokanbu	The Witch of Cocoyasi Village, Arlong's Female Officer	島田満 - Michiru Shimada	佐南友理 - Yuri Sanami	井手武生  - Takeo Ide	境宗久 - Munehisa Sakai	Chapter 70 (p. 13-19) ::: Chapter 71 (p. 2-4 :::  9-19) ::: Chapter 72 (p. 2-19) ::: Chapter 73 (p. 6-13)	Episode 32
599	ルフィ全開！ナミの決意と麦わら帽子	Rufi Zenkai! Nami no ketsui to mugiwara bōshi	Luffy's Best! Nami's Courage and the Straw Hat	島田満 - Michiru Shimada	千田国広 - Kunihiro Senda	井上栄作 - Eisaku Inoue	境宗久 - Munehisa Sakai	Chapter 88 (p. 11-19) ::: Chapter 89 (p. 2-19) ::: Chapter 90 (p. 2-7)	Episode 41
600	麦わらを追え！小さなバギーの大冒険	Mugiwara o oe! Chisana Bagī no dai bōken	Following the Straw Hat! Little Buggy's Big Adventure	武上純希 - Junki Takegami	吉田智子 - Tomoko Yoshida	横山健次 - Kenji Yokoyama	境宗久 - Munehisa Sakai	Chapters 35 :::  37 :::  39-40 :::  42-43 :::  ::: 46-48 :::  50-51 ::: 53-54 (p. 1)	Episode 46
601	炎の料理バトル?サンジVS美人シェフ	Honō no Ryōri Batoru? Sanji tai Bijin Shefu	A Burning Culinary Battle? Sanji vs. The Gorgeous Chef	島田満 - Michiru Shimada	佐藤美幸 - Miyuki Sato	久田和也 - Kazuya Hisada	境宗久 - Munehisa Sakai	Chapter 98 (p. 2)	Episode 51
602	廃墟の決闘! 緊迫のゾロVSエリック!	Haikyō no kettō! Kinpaku no Zoro tai Erikku!	Duel in the Ruins! Strained Zoro vs Eric!	武上純希 - Junki Takegami	吉田智子 - Tomoko Yoshida	山室直儀 - Tadayoshi Yamamuro	境宗久 - Munehisa Sakai	Filler	Episode 58
603	コビメッポの決意！ガープ中将の親心	Kobimeppo no ketsui! Gāpu chūshō no oyagokoro	Koby-Meppo's Determination! Vice Admiral Garp's Fatherly Pride	島田満 - Michiru Shimada	佐南友理 - Yuri Sanami	高木雅之 - Masayuki Takagi	境宗久 - Munehisa Sakai	114 (p. 1) ::: 	Episode 69
604	医者のいない島?名も無き国の冒険！	Isha no inai shima? Na mo naki kuni no bōken	A Doctorless Island? Adventure in the Country Without a Name!	島田満 - Michiru Shimada	杦浦正一郎 - Seiichiro Sugiura	袴田裕二 - Yuji Hakamada	境宗久 - Munehisa Sakai	132 (pp. 16-19) ::: 133 (pp. 2-21) ::: 134 (pp. 2-11)	Episode 80
605	ヒルルクの桜！ドラムロッキーの奇跡	Hiruruku no sakura! Doramu Rokkī no kiseki	Hiriluk's Cherry Blossoms! Miracle of the Drum Rockies	島田満 - Michiru Shimada	千田国広 - Kunihiro Senda	高木雅之 - Masayuki Takagi	境宗久 - Munehisa Sakai	152 (pp. 10-19) ::: 153 (pp. 2-19)	Episode 90
606	ニセモノの意地！心の反乱軍カミュ！	Nisemono no iji! Kokoro no hanrangun Kamyu!	Spirit of the Fakes! Heart of the Rebel Army, Camus!	武上純希 - Junki Takegami	佐藤美幸 - Miyuki Sato ::: 須和田真 - Makoto Suwada	井上栄作 - Eisaku Inoue	境宗久 - Munehisa Sakai	Filler	Episode 99
607	反乱軍VS国王軍！決戦はアルバーナ！	Hanrangun tai Kokuōgun! Kessen wa Arubāna!	Rebel Army vs. Royal Army! The Battle will be in Alubarna!	島田満 - Michiru Shimada	佐藤美幸 - Miyuki Sato ::: 川崎美千代 - Michiyo Kawasaki	舘直樹 - Naoki Tate ::: 島貫正弘 - Masahiro Shimanuki	境宗久 - Munehisa Sakai	Chapter 180 (p. 18-19) ::: Chapter 181 (p. 2-19) ::: Chapter 182 (p. 2-17) ::: Chapter 183 (p. 2) ::: 	Episode 112
608	豪剣の極意！鋼鉄を斬る力と物の呼吸	Gōken no Gokui! Kōtetsu o kiru Chikara to Mono no Kokyū	Essence of a Mighty Sword! The Power to Cut Steel and the Breath of All Things	武上純希 - Junki Takegami	佐藤美幸 - Miyuki Sato ::: 丸森俊昭 - Toshiaki Marumori	井上栄作 - Eisaku Inoue	境宗久 - Munehisa Sakai	Chapter 194 (p. 2-18) ::: Chapter 195 (p. 2-21) ::: 	Episode 119
609	越えていく！アラバスタに雨が降る！	Koete iku! Arabasuta ni ame ga furu!	I Will Surpass You! Rain Falls on Arabasta!	島田満 - Michiru Shimada	佐藤美幸 - Miyuki Sato ::: 千田国広 - Kunihiro Senda	井上栄作 - Eisaku Inoue	境宗久 - Munehisa Sakai	Chapter 208 (p. 6-9) ::: Chapter 209 (p. 2-21) ::: Chapter 210 (p. 2-17) ::: 	Episode 126
610	咲かせてみせます！男ウソップ八尺玉	Sakasete misemasu! Otoko Usoppu hasshaku dama	I'll Make it Bloom! Manly Usopp's Eight-Shaku Ball	武上純希 - Junki Takegami	佐藤美幸 - Miyuki Sato ::: 丸森俊昭 - Toshiaki Marumori	真庭秀明 - Hideaki Naniwa	境宗久 - Munehisa Sakai	Filler	Episode 134
611	永遠の国の住人！パンプキン海賊団！	Eien no kuni no jūnin! Panpukin kaizokudan!	Inhabitants of Neverland! The Pumpkin Pirates!	山口亮太 - Ryōta Yamaguchi	佐藤美幸 - Miyuki Sato ::: 川崎美千代 - Michiyo Kawasaki	真庭秀明 - Hideaki Naniwa	境宗久 - Munehisa Sakai	Filler	Episode 140
612	チョッパー危うし！元神VS神官シュラ	Choppā Ayau shi! Moto Kami tai Shinkan Shura	Chopper's in Danger! Former God vs Priest Shura	武上純希 - Junki Takegami	佐藤美幸 - Miyuki Sato ::: 内川文広 - Fumihiro Uchikawa	小泉昇 - Noboru Koizumi	境宗久 - Munehisa Sakai	248 p.2-20 ::: 249 p.2-4	Episode 162
613	捨て身の排撃（リジェクト）！『戦鬼』ワイパーの覚悟	Sutemi no Rijekuto! Senki Waipā no Kakugo	The Life-Threatening Reject! War Demon Wyper's Resolve	武上純希 - Junki Takegami	佐藤美幸 - Miyuki Sato ::: 福澤久美子 - Kumiko Fukuzawa	木下ゆうき - Yūki Kinoshita	境宗久 - Munehisa Sakai	256 p.9-19 :::  257 p.2-19 :::  258 p.10-11	Episode 169
614	"""巨大豆蔓（ジィアントジャック）""を登れ！！上層遺跡の死闘"	Jianto Jakku o Nobore!! Jōsō Iseki no Shitō	Climb Giant Jack!! Showdown in the Upper Ruins	島田満 - Michiru Shimada	佐藤美幸 - Miyuki Sato ::: 川崎美千代 - Michiyo Kawasaki	井手武生  - Takeo Ide	境宗久 - Munehisa Sakai	268 p.2-7 :::  11-16 ::: 269 p.2-19	Episode 176
615	目覚めた二人！燃える恋の救出前線！！	Mezameta futari! Moeru koi no kyūshutsu zensen!!	Two People Awaken! A Rescue in Front of Burning Love!!	島田満 - Michiru Shimada	佐藤美幸 - Miyuki Sato ::: 川崎美千代 - Michiyo Kawasaki	横山健次 - Kenji Yokoyama	境宗久 - Munehisa Sakai	283 p.7-19 ::: 284 p.3-16	Episode 185
616	いざ青海へ！！想いが織りなす最終楽章	Iza seikai e!! Omoi ga shibarinasu saishū gakushō	None	上坂浩彦 - Hirohiko Kamisaka	佐藤美幸 - Miyuki Sato ::: 	横山健次 - Kenji Yokoyama	境宗久 - Munehisa Sakai	302 p.2-19 ::: 303 p.2-3 :::  10-11 :::  14	Episode 195
617	決死のルフィとサンジ！救出大作戦！	Kesshi no Rufi to Sanji! Kyūshutsu daisakusen!	Luffy and Sanji's Desperate Decision! Large Rescue Maneuvers!	上坂浩彦 - Hirohiko Kamisaka	佐藤美幸 - Miyuki Sato ::: 	久田和也 - Kazuya Hisada	境宗久 - Munehisa Sakai	Filler	Episode 200
618	第三回戦! ぐるぐるローラーレース!	Daisan kaisen! Guruguru Rōrā Rēsu!	Round 3! Round and Round Roller Race!	上坂浩彦 - Hirohiko Kamisaka	佐藤美幸 - Miyuki Sato ::: 川崎美千代 - Michiyo Kawasaki	井手武生  - Takeo Ide	境宗久 - Munehisa Sakai	Filler	Episode 213
619	失った? 奪われた? おまえはだれだ?	Ushinatta? Ubawareta? Omae wa dare da?	You Lost Your Memory? It Was Taken? Who Are You?	武上純希 - Junki Takegami ::: 小山仁 - Hito Koyama (assistant)	佐藤美幸 - Miyuki Sato ::: 千田国広 - Kunihiro Senda	井上栄作 - Eisaku Inoue	境宗久 - Munehisa Sakai	Filler	Episode 220
620	疾走海列車と水の都ウォーターセブン	Shissō umi ressha to mizu no miyako Uōtā Seven	Running Sea Train! The City of Water, Water 7	上坂浩彦 - Hirohiko Kamisaka	佐藤美幸 - Miyuki Sato ::: 下川忠海 - Tadami Shimokawa	高木雅之 - Masayuki Takagi	境宗久 - Munehisa Sakai	322 p.10-18 :::  323 p.2-12 :::  324 p.2-8	Episode 229
